id,season,city,team1,team2,toss_winner,toss_decision,winner,batting1_runs,batting2_runs,batting1_super_over,batting2_super_over,bowling1_extras,bowling2_extras,p1,p2,SAB,team1_bat_score,team2_bat_score,team1_ball_score,team2_ball_score
168,2009,15,6,2,2,0,2,101,102,0,0,5,5,100,0,0.035544622,7.411212397,6.878565193,5.948915632,6.218416167
169,2009,15,5,9,5,1,5,116,92,0,0,7,6,100,0,0.055541961,7.380737846,6.897516668,6.697284235,6.799768875
170,2009,16,1,7,7,0,7,165,166,0,0,24,9,0,0,0.361937778,5.724210766,4.992775033,7.692978752,5.662254857
171,2009,16,3,4,3,1,3,170,158,0,0,2,13,0,0,-0.144475957,6.546977295,5.845051459,5.550139865,7.205090809
172,2009,16,7,4,4,0,4,153,154,0,0,10,6,100,0,-0.268387801,5.083351339,5.731584067,5.417410703,6.437837042
173,2009,18,5,3,3,0,3,146,149,0,0,6,5,0,0,0.219001089,8.104745858,7.23314211,6.270363651,5.904901984
174,2009,18,4,3,3,0,4,143,137,0,0,8,10,0,0,-0.058427449,5.759430203,7.379202071,6.979965723,5.766522933
175,2010,6,2,4,4,0,2,161,150,0,0,15,12,0,0,0.083574988,7.28055798,7.359501689,6.017698689,5.572348475
176,2010,6,1,6,1,1,1,212,208,0,0,16,5,0,0,0.023441521,5.656349931,6.806839881,7.445152088,6.032112927
177,2010,9,9,7,7,0,7,142,146,0,0,13,7,0,0,0.822351781,9.347203202,5.125383999,6.128006362,5.635127182
178,2010,7,3,2,2,0,2,135,136,0,0,5,6,0,0,-0.337269207,7.267835465,7.919731924,5.086062652,5.957853647
179,2010,12,4,5,4,1,4,190,159,0,0,16,3,0,0,-0.268918427,6.954622738,8.873238569,5.682568565,5.380480602
180,2010,21,6,7,7,0,7,141,142,0,0,5,9,0,0,0.605361975,8.128988137,5.113774362,6.097800573,5.629539883
181,2010,5,9,3,9,1,3,203,204,0,0,13,10,0,0,0.661771886,8.444343333,4.980090982,4.880221368,5.019713713
182,2010,7,5,2,5,1,5,164,109,0,0,3,8,0,0,-0.314329648,7.921454568,8.91741162,6.233384311,7.096427796
183,2010,8,1,7,7,0,1,218,120,0,0,17,11,0,0,0.289564778,6.370987693,6.487976294,7.496994715,5.516125779
184,2010,5,6,3,3,0,3,92,93,0,0,7,7,0,0,0.397153288,6.84849,6.030987814,6.305370602,5.059323264
185,2010,8,7,5,7,1,5,185,190,0,0,10,10,0,0,-0.314707133,6.964571405,8.47087959,5.461822927,5.6337719
186,2010,22,4,9,9,0,4,170,164,0,0,1,12,0,100,-0.110065278,6.876816841,8.381836885,6.056043971,5.39790168
187,2010,21,6,2,6,1,6,168,134,0,0,8,5,0,0,-0.323947393,6.706733826,8.620176286,6.158434736,6.234254927
188,2010,6,1,3,1,1,3,151,155,0,0,14,2,0,0,0.288150009,6.505816342,6.652035025,7.005429231,5.256357768
189,2010,22,4,7,4,1,4,171,161,0,0,2,4,0,0,0.114535822,6.555677172,6.448240721,7.066301918,6.382893415
190,2010,12,9,5,5,0,9,136,136,9,10,4,13,0,100,0.007181458,7.036572523,7.604619736,6.051920942,5.568034472
191,2010,6,2,1,2,1,1,155,156,0,0,15,4,0,100,-0.716868634,5.646290008,5.85442522,3.816209807,6.909096391
192,2010,5,3,5,5,0,3,171,135,0,0,14,11,0,0,-0.297645397,6.52228106,9.307499863,5.182332601,4.352945168
193,2010,9,6,9,9,0,6,183,152,0,0,10,6,0,0,-0.056619595,7.029529476,8.605623707,6.402213828,5.459641508
194,2010,6,5,1,1,0,1,180,181,0,0,14,14,0,0,0.347481603,8.295244503,5.79857839,6.503618251,6.694711251
195,2010,21,4,6,4,1,6,148,151,0,0,11,11,0,0,0.194882894,7.118624227,5.819992873,6.539117477,6.56148727
196,2010,9,2,9,2,1,2,183,144,0,0,18,6,0,0,0.317121747,8.157601329,6.929082865,6.897417184,6.171992869
197,2010,5,7,3,3,0,7,183,166,0,0,8,16,0,0,0.120893275,7.393018469,7.323848054,5.452241698,5.049303163
198,2010,21,6,5,6,1,6,177,160,0,0,3,6,0,0,-0.005737037,7.770450862,8.242312627,5.877364531,5.563653466
199,2010,6,1,4,4,0,1,172,131,0,0,10,11,0,0,-0.041276663,6.427409227,6.700226848,6.962120673,6.977922849
200,2010,8,7,2,7,1,7,177,137,0,0,4,11,0,0,0.021649887,7.971583595,8.429067326,6.486075975,6.033532453
201,2010,6,9,1,1,0,1,163,164,0,0,21,17,0,0,0.353308782,8.819961953,6.591905049,6.78302793,6.655911224
202,2010,12,3,5,3,1,5,161,162,0,0,5,10,0,0,0.088072231,7.243006177,6.629633211,6.490812895,6.528410117
203,2010,8,7,6,7,1,7,188,121,0,0,13,3,0,0,0.285965829,7.299626442,6.236228091,6.834907128,6.091273499
204,2010,7,2,4,2,1,2,181,157,0,0,14,7,0,0,0.312418387,7.951687016,6.381814494,6.837136274,6.382678005
205,2010,9,9,3,9,1,3,181,184,0,0,11,10,0,0,0.202148286,8.748993064,7.571874138,6.467943161,6.372982301
206,2010,12,5,6,5,1,5,246,223,0,0,6,15,0,0,-0.121124234,8.181006963,6.424990802,4.777393899,6.685198267
